date,so2,no2,rspm,spm,aqi
2013-08-16,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-17,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-18,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-19,2.0,60.0,107.0,398.5591499628397,108.49429363098065
2013-08-20,2.0,83.0,79.0,398.5591499628397,103.636702007944
2013-08-21,3.0,46.0,66.0,398.5591499628397,99.2411522697241
2013-08-22,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-23,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-24,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-25,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-26,10.0,68.0,124.0,398.5591499628397,112.48486954721102
2013-08-27,9.0,51.0,97.5,398.5591499628397,106.13539310742044
2013-08-28,9.5,45.0,112.5,398.5591499628397,109.02557635349373
2013-08-29,5.0,57.0,119.0,398.5591499628397,110.90450305506442
2013-08-30,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-08-31,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-01,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-02,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-03,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-04,2.0,25.0,85.0,398.5591499628397,102.28801090846756
2013-09-05,2.0,37.0,75.0,398.5591499628397,100.72361300270839
2013-09-06,2.0,44.0,106.0,398.5591499628397,107.56340357862463
2013-09-07,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-08,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-09,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-10,2.5,71.5,120.0,398.5591499628397,111.75149258386023
2013-09-11,2.0,84.0,99.5,398.5591499628397,107.99638787181834
2013-09-12,3.0,71.5,114.5,398.5591499628397,110.59717321213247
2013-09-13,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-14,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-15,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-16,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-17,3.0,65.0,101.0,398.5591499628397,107.46314179851991
2013-09-18,3.0,61.0,98.0,398.5591499628397,106.6516234739126
2013-09-19,6.0,67.0,150.0,398.5591499628397,117.88591666762986
2013-09-20,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-21,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-22,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
2013-09-23,4.423357664233578,82.96350364963503,220.38321167883208,398.5591499628397,133.40801320143197
